,Gianni,De Biasi,#DeBiasi,Albania,Manager,
@EtritBerisha99,Etrit,Berisha,#Berisha,Albania,Goalkeeper,Lazio
,Alban,Hoxha,#Hoxha,Albania,Goalkeeper,Partizani
,Orges,Shehi,#Shehi,Albania,Goalkeeper,SkÌÇnderbeu
@lorikcana,Lorik,Cana,#Cana,Albania,Center Back,Nantes
,Arlind,Ajeti,#Ajeti,Albania,Center Back,Frosinone
@MergimMavraj,MÌÇrgim,Mavraj,#Mavraj,Albania,Center Back,1. FC KÌ_LN
,Elseid,Hysaj,#Hysaj,Albania,Right Back,Napoli
,Ansi,Agolli ,#Agolli ,Albania,Left Back,Qaraba€Ù
@F_Veseli20,Frederic,Veseli,#Veseli,Albania,Right Back,Lugano
,Naser,Aliji,#Aliji,Albania,Left Back,FC Basel
,Ledian,Memushaj,#Memushaj,Albania,Center Midfield,Pescara
,Ergys,KaÌ_e,#KaÌ_e,Albania,Center Midfield,PAOK
,Andi,Lila,#Lila,Albania,Center Midfield,Giannina
,Migjen,Basha,#Basha,Albania,Center Midfield,Como
@OdiseRoshi,Odise,Roshi,#Roshi,Albania,Right Midfield,Rijeka
@BurimKukeli20,Burim,Kukeli,#Kukeli,Albania,Center Midfield,ZÌ_rich
@ErmirLenjani,Ermir,Lenjani ,#Lenjani ,Albania,Left Back,Nantes
@TaulantXhaka,Taulant,Xhaka ,#Xhaka ,Albania,Center Midfield,FC Basel
,Amir,Abrashi ,#Abrashi ,Albania,Center Midfield,Freiburg
@BekimBALAJ,Bekim,Balaj,#Balaj,Albania,Forward,Rijeka
,Sokol,Ìàikalleshi,#Ìàikalleshi,Albania,Forward,Medipol Baksasehir
,Armando ,Sadiku,#Sadiku,Albania,Forward,Vaduz
@s_gashi11,ShkÌÇlzen,Gashi,#Gashi,Albania,Forward,Colorado Rapids
,Marcel,Koller,#Koller,Austria,Manager,
,Robert,Almer,#Almer,Austria,Goalkeeper,Austria Vienna
@heinz170790,Heinz,Lindner,#Lindner,Austria,Goalkeeper,Eintracht Frankfurt
,Ramazan,Ozcan,#Ozcan,Austria,Goalkeeper,Ingolstadt
,Aleksandar,Dragovic,#Dragovic,Austria,Center Back,Dynamo Kyiv
@FuchsOfficial,Christian,Fuchs,#Fuchs,Austria,Left Back,Leicester City
,Gyorgy,Garics,#Garics,Austria,Right Back,Darmstadt
,Martin,Hinteregger,#Hinteregger,Austria,Center Back,Borussia Monchengladbach
,Florian ,Klein,#Klein,Austria,Right Back,Vfb Stuttgart
@sebastianprodl,Sebastian,Prodl,#Prodl,Austria,Center Back,Watford
@Suttner29,Markus,Suttner,#Suttner,Austria,Left Back,Ingolstadt
@kevinwimmer27,Kevin ,Wimmer,#Wimmer,Austria,Center Back,Tottenham Hotspur
@david_alaba,David,Alaba,#Alaba,Austria,Left Back,Bayern Munich
@MArnautovic10,Marko,Arnautovic ,#Arnautovic ,Austria,Center Midfield,Stoke City
,Julian ,Baumgartlinger,#Baumgartlinger,Austria,Center Midfield,FSV Mainz 05
@Martin_Harnik,Martin,Harnik,#Harnik,Austria,Right Midfield,Vfb Stuttgart
,Stefan,Ilsanker,#Ilsanker,Austria,Center Midfield,Leipzig
,Jakob ,Jantscher,#Jantscher,Austria,Left Midfield,Luzern
,Zlatko,Junuzovic,#Junuzovic,Austria,Center Midfield,Werder Bremen
@MSabitzer,Marcel,Sabitzer,#Sabitzer,Austria,Forward,Leipzig
,Alessandro,Schopf,#Schopf,Austria,Center Midfield,FC Schalke 04
,Lukas,Hinterseer,#Hinterseer,Austria,Forward,Ingolstadt
,Rubin,Okotie,#Okotie,Austria,Forward,1860 Munich
@JankoMarc,Marc,Janko ,#Janko ,Austria,Forward,FC Basel
@WilmotsMarc,Marc,Wilmots,#Wilmots,Belgium,Manager,
@thibautcourtois,Thibaut,Courtois,#courtois,Belgium,Goalkeeper,Chelsea
,Jean-Francois,Gillet,#gillet,Belgium,Goalkeeper,Mechelen
@SMignolet,Simon,Mignolet,#mignolet,Belgium,Goalkeeper,Liverpool
@AlderweireldTob,Toby,Alderweireld,#alderweireld,Belgium,Center Back,Tottenham Hotspur
@LaurentCiman23,Laurent,Ciman,#Ciman,Belgium,Center Back,Montreal Impact
@Jasondenayer,Jason,Denayer,#denayer,Belgium,Center Back,Galatasaray
,Christian,Kabasele,#Kabasele,Belgium,Center Back,Genk
@J_Lukaku94,Jordan,Lukaku,#Jordanlukaku,Belgium,Left Back,Oostende
@ThomMills,Thomas,Meunier,#meunier,Belgium,Right Back,Club Brugge
@thomasvermaelen,Thomas,Vermaelen,#vermaelen,Belgium,Center Back,FC Barcelona
@JanVertonghen,Jan,Vertonghen,#vertonghen,Belgium,Left Back,Tottenham Hotspur
"
@Fellaini",Marouane,Fellaini,#fellaini,Belgium,Center Midfield,Manchester United
@OfficialRadj,Radja,Nainggolan,#nainggolan,Belgium,Center Midfield,Roma
@axelwitsel28,Axel,Witsel,#witsel,Belgium,Center Midfield,Zenit St Petersburg
@DeBruyneKev,Kevin,De Bruyne,#debruyne,Belgium,Forward,Manchester City
@hazardeden10,Eden,Hazard,#hazard,Belgium,Forward,Chelsea
@mousadembele,Mousa,Dembele,#dembele,Belgium,Center Midfield,Tottenham Hotspur
@mbatshuayi,Michy,Batshuayi,#batschuayi,Belgium,Forward,Olympique de Marseille
@chrisbenteke,Christian,Benteke,#benteke,Belgium,Forward,Liverpool
@YCarrasco17,Yannick,Carrasco,#carrasco,Belgium,Forward,Atletico Madrid
@RomeluLukaku,Romelu,Lukaku,#lukaku,Belgium,Forward,Everton
@dries_mertens14,Dries,Mertens,#mertens,Belgium,Forward,Napoli
@DivockOrigi,Divock,Origi,#origi,Belgium,Forward,Liverpool
,Ante,Cacic,#Cacic,Croatia ,Manager,
@SubasicDanijel,Danijel,Subasic,#Subasic,Croatia ,Goalkeeper,Monaco
,Lovre,Kalinic,#Kalinic,Croatia ,Goalkeeper,Hajduk Split
