@WilmotsMarc,Marc,Wilmots,#Wilmots,Belgium,Manager,
@thibautcourtois,Thibaut,Courtois,#courtois,Belgium,Goalkeeper,Chelsea
,Jean-Francois,Gillet,#gillet,Belgium,Goalkeeper,Mechelen
@SMignolet,Simon,Mignolet,#mignolet,Belgium,Goalkeeper,Liverpool
@AlderweireldTob,Toby,Alderweireld,#alderweireld,Belgium,Centre Back,Tottenham Hotspur
@LaurentCiman23,Laurent,Ciman,#Ciman,Belgium,Centre Back,Montreal Impact
@Jasondenayer,Jason,Denayer,#denayer,Belgium,Centre Back,Galatasaray
,Christian,Kabasele,#Kabasele,Belgium,Centre Back,Genk
@J_Lukaku94,Jordan,Lukaku,#Jordanlukaku,Belgium,Left Back,Oostende
@ThomMills,Thomas,Meunier,#meunier,Belgium,Right Back,Club Brugge
@thomasvermaelen,Thomas,Vermaelen,#vermaelen,Belgium,Centre Back,FC Barcelona
@JanVertonghen,Jan,Vertonghen,#vertonghen,Belgium,Left Back,Tottenham Hotspur
"
@Fellaini",Marouane,Fellaini,#fellaini,Belgium,Centre Midfield,Manchester United
@OfficialRadj,Radja,Nainggolan,#nainggolan,Belgium,Centre Midfield,Roma
@axelwitsel28,Axel,Witsel,#witsel,Belgium,Centre Midfield,Zenit St Petersburg
@DeBruyneKev,Kevin,De Bruyne,#debruyne,Belgium,Forward,Manchester City
@hazardeden10,Eden,Hazard,#hazard,Belgium,Forward,Chelsea
@mousadembele,Mousa,Dembele,#dembele,Belgium,Centre Midfield,Tottenham Hotspur
@mbatshuayi,Michy,Batshuayi,#batschuayi,Belgium,Forward,Olympique de Marseille
@chrisbenteke,Christian,Benteke,#benteke,Belgium,Forward,Liverpool
@YCarrasco17,Yannick,Carrasco,#carrasco,Belgium,Forward,Atletico Madrid
@RomeluLukaku,Romelu,Lukaku,#lukaku,Belgium,Forward,Everton
@dries_mertens14,Dries,Mertens,#mertens,Belgium,Forward,Napoli
@DivockOrigi,Divock,Origi,#origi,Belgium,Forward,Liverpool
,Ante,Cacic,#Cacic,Croatia ,Manager,
@SubasicDanijel,Danijel,Subasic,#Subasic,Croatia ,Goalkeeper,Monaco
,Lovre,Kalinic,#Kalinic,Croatia ,Goalkeeper,Hajduk Split
,Ivan,Vargic ,#Vargic ,Croatia ,Goalkeeper,Rijeka
,Vedran,Corluka,#Corluka,Croatia ,Centre Back,Lokomotiv Moscow
@SrnaDarijo,Darijo,Srna,#Srna,Croatia ,Right Back,Shakhtar Donetsk
,Domagoj,Vida,#Vida,Croatia ,Centre Back,Dynamo Kyiv
,Sime,Vrsaljko,#Vrsaljko,Croatia ,Right Back,Sassuolo
,Gordon,Schildenfeld,#Schildenfeld,Croatia ,Centre Back,Dinamo Zagreb
,Ivan,Strinic,#Strinic,Croatia ,Left Back,Napoli
,Tin,Jedvaj,#Jedvaj,Croatia ,Centre Back,Bayer 04 Leverkusen
@Modric19,Luka,Modric,#Modric,Croatia ,Centre Midfield,Real Madrid
@ivanrakitic,Ivan,Rakitic,#Rakitic,Croatia ,Centre Midfield,FC Barcelona
@kovacic_mateo,Mateo,Kovacic,#Kovacic,Croatia ,Centre Midfield,Real Madrid
@BrozovicMarcelo,Marcelo,Brozovic,#Brozovic,Croatia ,Centre Midfield,Inter Milan
,Milan,Badelj,#Badelj,Croatia ,Centre Midfield,Fiorentina
,Ivan,Perisic,#Perisic,Croatia ,Left Midfield,Inter Milan
,Marko,Rog,#Rog,Croatia ,Centre Midfield,Dinamo Zagreb
,Ante,Coric,#Coric,Croatia ,Centre Midfield,Dinamo Zagreb
@MarioMandzukic9,Mario,Mandzukic,#Mandzukic,Croatia ,Forward,Juventus
