Twitter Handle,First Name,Last Name,#playername,Country,Position,Club
,Gianni,De Biasi,#DeBiasi,Albania,Manager,
@EtritBerisha99,Etrit,Berisha,#Berisha,Albania,Goalkeeper,Lazio
,Alban,Hoxha,#Hoxha,Albania,Goalkeeper,Partizani
,Orges,Shehi,#Shehi,Albania,Goalkeeper,SkÃ«nderbeu
@lorikcana,Lorik,Cana,#Cana,Albania,Centre Back,Nantes
,Arlind,Ajeti,#Ajeti,Albania,Centre Back,Frosinone
@MergimMavraj,MÃ«rgim,Mavraj,#Mavraj,Albania,Centre Back,1. FC KÃ–LN
,Elseid,Hysaj,#Hysaj,Albania,Right Back,Napoli
,Ansi,Agolli ,#Agolli ,Albania,Left Back,QarabaÄŸ
@F_Veseli20,Frederic,Veseli,#Veseli,Albania,Right Back,Lugano
,Naser,Aliji,#Aliji,Albania,Left Back,FC Basel
,Ledian,Memushaj,#Memushaj,Albania,Centre Midfield,Pescara
,Ergys,KaÃ§e,#KaÃ§e,Albania,Centre Midfield,PAOK
,Andi,Lila,#Lila,Albania,Centre Midfield,Giannina
,Migjen,Basha,#Basha,Albania,Centre Midfield,Como
@OdiseRoshi,Odise,Roshi,#Roshi,Albania,Right Midfield,Rijeka
@BurimKukeli20,Burim,Kukeli,#Kukeli,Albania,Centre Midfield,ZÃ_rich
@ErmirLenjani,Ermir,Lenjani ,#Lenjani ,Albania,Left Back,Nantes
@TaulantXhaka,Taulant,Xhaka ,#Xhaka ,Albania,Centre Midfield,FC Basel
,Amir,Abrashi ,#Abrashi ,Albania,Centre Midfield,Freiburg
@BekimBALAJ,Bekim,Balaj,#Balaj,Albania,Forward,Rijeka
,Sokol,Ã‡ikalleshi,#Ã‡ikalleshi,Albania,Forward,Medipol Baksasehir
,Armando ,Sadiku,#Sadiku,Albania,Forward,Vaduz
@s_gashi11,ShkÃ«lzen,Gashi,#Gashi,Albania,Forward,Colorado Rapids
,Marcel,Koller,#Koller,Austria,Manager,
,Robert,Almer,#Almer,Austria,Goalkeeper,Austria Vienna
@heinz170790,Heinz,Lindner,#Lindner,Austria,Goalkeeper,Eintracht Frankfurt
,Ramazan,Ozcan,#Ozcan,Austria,Goalkeeper,Ingolstadt
,Aleksandar,Dragovic,#Dragovic,Austria,Centre Back,Dynamo Kyiv
@FuchsOfficial,Christian,Fuchs,#Fuchs,Austria,Left Back,Leicester City
,Gyorgy,Garics,#Garics,Austria,Right Back,Darmstadt
,Martin,Hinteregger,#Hinteregger,Austria,Centre Back,Borussia Monchengladbach
,Florian ,Klein,#Klein,Austria,Right Back,Vfb Stuttgart
@sebastianprodl,Sebastian,Prodl,#Prodl,Austria,Centre Back,Watford
@Suttner29,Markus,Suttner,#Suttner,Austria,Left Back,Ingolstadt
@kevinwimmer27,Kevin ,Wimmer,#Wimmer,Austria,Centre Back,Tottenham Hotspur
@david_alaba,David,Alaba,#Alaba,Austria,Left Back,Bayern Munich
@MArnautovic10,Marko,Arnautovic ,#Arnautovic ,Austria,Centre Midfield,Stoke City
,Julian ,Baumgartlinger,#Baumgartlinger,Austria,Centre Midfield,FSV Mainz 05
@Martin_Harnik,Martin,Harnik,#Harnik,Austria,Right Midfield,Vfb Stuttgart
,Stefan,Ilsanker,#Ilsanker,Austria,Centre Midfield,Leipzig
,Jakob ,Jantscher,#Jantscher,Austria,Left Midfield,Luzern
,Zlatko,Junuzovic,#Junuzovic,Austria,Centre Midfield,Werder Bremen
@MSabitzer,Marcel,Sabitzer,#Sabitzer,Austria,Forward,Leipzig
,Alessandro,Schopf,#Schopf,Austria,Centre Midfield,FC Schalke 04
,Lukas,Hinterseer,#Hinterseer,Austria,Forward,Ingolstadt
,Rubin,Okotie,#Okotie,Austria,Forward,1860 Munich
@JankoMarc,Marc,Janko ,#Janko ,Austria,Forward,FC Basel
@WilmotsMarc,Marc,Wilmots,#Wilmots,Belgium,Manager,
@thibautcourtois,Thibaut,Courtois,#courtois,Belgium,Goalkeeper,Chelsea
,Jean-Francois,Gillet,#gillet,Belgium,Goalkeeper,Mechelen
@SMignolet,Simon,Mignolet,#mignolet,Belgium,Goalkeeper,Liverpool
@AlderweireldTob,Toby,Alderweireld,#alderweireld,Belgium,Centre Back,Tottenham Hotspur
@LaurentCiman23,Laurent,Ciman,#Ciman,Belgium,Centre Back,Montreal Impact
@Jasondenayer,Jason,Denayer,#denayer,Belgium,Centre Back,Galatasaray
,Christian,Kabasele,#Kabasele,Belgium,Centre Back,Genk
@J_Lukaku94,Jordan,Lukaku,#Jordanlukaku,Belgium,Left Back,Oostende
@ThomMills,Thomas,Meunier,#meunier,Belgium,Right Back,Club Brugge
@thomasvermaelen,Thomas,Vermaelen,#vermaelen,Belgium,Centre Back,FC Barcelona
@JanVertonghen,Jan,Vertonghen,#vertonghen,Belgium,Left Back,Tottenham Hotspur
"
@Fellaini",Marouane,Fellaini,#fellaini,Belgium,Centre Midfield,Manchester United
@OfficialRadj,Radja,Nainggolan,#nainggolan,Belgium,Centre Midfield,Roma
@axelwitsel28,Axel,Witsel,#witsel,Belgium,Centre Midfield,Zenit St Petersburg
@DeBruyneKev,Kevin,De Bruyne,#debruyne,Belgium,Forward,Manchester City
@hazardeden10,Eden,Hazard,#hazard,Belgium,Forward,Chelsea
@mousadembele,Mousa,Dembele,#dembele,Belgium,Centre Midfield,Tottenham Hotspur
@mbatshuayi,Michy,Batshuayi,#batschuayi,Belgium,Forward,Olympique de Marseille
@chrisbenteke,Christian,Benteke,#benteke,Belgium,Forward,Liverpool
@YCarrasco17,Yannick,Carrasco,#carrasco,Belgium,Forward,Atletico Madrid
@RomeluLukaku,Romelu,Lukaku,#lukaku,Belgium,Forward,Everton
@dries_mertens14,Dries,Mertens,#mertens,Belgium,Forward,Napoli
@DivockOrigi,Divock,Origi,#origi,Belgium,Forward,Liverpool
,Ante,Cacic,#Cacic,Croatia ,Manager,
@SubasicDanijel,Danijel,Subasic,#Subasic,Croatia ,Goalkeeper,Monaco
